text,label
"Terrible experience, I hate it.",0
I love this product! It's amazing.,1
I am very happy with my order.,1
Worst service ever. Do not recommend!,1
Worst service ever. Do not recommend!,1
This is the best purchase I've made.,0
"Terrible experience, I hate it.",0
Customer support was very helpful.,1
"Terrible experience, I hate it.",0
I will never buy from here again!,0
Absolutely fantastic! Great quality.,0
I love this product! It's amazing.,0
I love this product! It's amazing.,0
"Terrible experience, I hate it.",1
Worst service ever. Do not recommend!,0
Worst service ever. Do not recommend!,1
Customer support was very helpful.,1
I will never buy from here again!,1
I love this product! It's amazing.,1
Customer support was very helpful.,0
Worst service ever. Do not recommend!,0
Customer support was very helpful.,1
Absolutely fantastic! Great quality.,1
Worst service ever. Do not recommend!,0
"Poor quality, broke in a week.",1
I will never buy from here again!,1
I am very happy with my order.,0
I love this product! It's amazing.,1
This is the best purchase I've made.,0
Absolutely fantastic! Great quality.,1
"So disappointing, not what I expected.",0
I am very happy with my order.,0
This is the best purchase I've made.,1
Worst service ever. Do not recommend!,0
"So disappointing, not what I expected.",0
"Terrible experience, I hate it.",1
"Terrible experience, I hate it.",0
Absolutely fantastic! Great quality.,0
"Terrible experience, I hate it.",1
"So disappointing, not what I expected.",1
"So disappointing, not what I expected.",0
I will never buy from here again!,0
I am very happy with my order.,1
I love this product! It's amazing.,1
"Poor quality, broke in a week.",0
Customer support was very helpful.,0
"Terrible experience, I hate it.",0
Absolutely fantastic! Great quality.,0
"Terrible experience, I hate it.",0
Customer support was very helpful.,1
I am very happy with my order.,0
I will never buy from here again!,0
"So disappointing, not what I expected.",0
I will never buy from here again!,1
Worst service ever. Do not recommend!,0
"Terrible experience, I hate it.",1
I love this product! It's amazing.,1
Worst service ever. Do not recommend!,0
I am very happy with my order.,0
"Terrible experience, I hate it.",1
Worst service ever. Do not recommend!,1
"Terrible experience, I hate it.",1
Absolutely fantastic! Great quality.,1
I am very happy with my order.,1
"Poor quality, broke in a week.",0
"So disappointing, not what I expected.",0
This is the best purchase I've made.,0
"So disappointing, not what I expected.",0
"So disappointing, not what I expected.",1
Worst service ever. Do not recommend!,0
I am very happy with my order.,0
"Terrible experience, I hate it.",0
I will never buy from here again!,0
This is the best purchase I've made.,0
Customer support was very helpful.,0
Worst service ever. Do not recommend!,0
This is the best purchase I've made.,0
"Poor quality, broke in a week.",0
Absolutely fantastic! Great quality.,1
I am very happy with my order.,0
Customer support was very helpful.,0
Worst service ever. Do not recommend!,1
"So disappointing, not what I expected.",1
I love this product! It's amazing.,0
Worst service ever. Do not recommend!,0
I love this product! It's amazing.,1
"So disappointing, not what I expected.",0
Absolutely fantastic! Great quality.,1
I am very happy with my order.,1
"Terrible experience, I hate it.",0
Worst service ever. Do not recommend!,0
I will never buy from here again!,0
"So disappointing, not what I expected.",1
Worst service ever. Do not recommend!,1
"Poor quality, broke in a week.",1
Absolutely fantastic! Great quality.,1
"Poor quality, broke in a week.",1
This is the best purchase I've made.,0
I am very happy with my order.,0
This is the best purchase I've made.,0
